participant_id,trial_number,cluster,descriptor,option_a,option_b,option_c,option_d,correct_index,selected_index,is_correct,confidence_1to5,familiarity_1to5_for_descriptor,response_timestamp,form_id,is_duplicate_submission
p9,11,Woody & Resinous,Myrrh,cinnamon,wintergreen,wet_dog,Myrrh,3,3,TRUE,4,1,31/07/2026 14:50:42,SESSION:p9,FALSE
p9,12,Sweet & Gourmand,Honeyed,Honeyed,lemony,jasmine,nail-polisher,0,3,FALSE,3,1,31/07/2026 14:51:49,SESSION:p9,FALSE
p9,13,Perfumed & Clean,skin-care,smoky,skin-care,Coconut,butyric,1,1,TRUE,4,2,31/07/2026 14:53:43,SESSION:p9,FALSE
p9,14,Body & Animalic,wet_dog,disinfectant,tangy,air_freshener,wet_dog,3,3,TRUE,2,4,31/07/2026 14:54:51,SESSION:p9,FALSE
p9,15,Putrid & Decay,rotten-egg,fishy,rotten-egg,Myrrh,burnt_rubber,1,1,TRUE,3,4,31/07/2026 14:56:01,SESSION:p9,FALSE
p9,16,Chemical & Solvent,nail-polisher,guava,smoky,nail-polisher,skin-care,2,2,TRUE,4,4,31/07/2026 14:57:32,SESSION:p9,FALSE
p9,17,Perfumed & Clean,air_freshener,fresh_bread,eucalyptus,yeasty,air_freshener,3,3,TRUE,4,4,31/07/2026 14:58:28,SESSION:p9,FALSE
p9,18,Spice,anise,jasmine,perfumer,anise,Honeyed,2,0,FALSE,3,3,31/07/2026 14:59:49,SESSION:p9,FALSE
p9,19,Putrid & Decay,feces,nail-polisher,feces,Vanilla,sweaty,1,1,TRUE,4,5,31/07/2026 15:00:39,SESSION:p9,FALSE
p9,20,Fermented & Sour,sour_milk,bad_breath,sour_milk,rotten_fish,lilac,1,0,FALSE,4,3,31/07/2026 15:01:33,SESSION:p9,FALSE
p9,21,Spice,cinnamon,smoky,Vanilla,lilac,cinnamon,3,2,FALSE,5,5,31/07/2026 15:02:48,SESSION:p9,FALSE
p9,22,Chemical & Solvent,disinfectant,disinfectant,Maple-syrup,air_freshener,fresh_bread,0,1,FALSE,2,4,31/07/2026 15:03:49,SESSION:p9,FALSE
p9,23,Fermented & Sour,vinegar-like,vinegar-like,anise,rotten-egg,fishy,0,0,TRUE,4,5,31/07/2026 15:04:46,SESSION:p9,FALSE
p9,24,Body & Animalic,bad_breath,Cedar,chlorine,perfumer,bad_breath,3,3,TRUE,4,4,31/07/2026 15:05:57,SESSION:p9,FALSE
